id,text,like_count,commentor,is_favorited,is_pinned,is_comment,comments,musical
UgzBShUBvmRuEntZUVZ4AaABAg, @twist_ending7545 ”I will not rest until I rizz up Chastity”,0,@squidpile,False,False,True,4,Nerdy Prudes
UgyI8Y--o1fcakNWEyJ4AaABAg,"I wish I could see how many times I've watched this, it's well into the 50s.",0,@samdotcomm,False,False,False,0,Nerdy Prudes
Ugxa8OUOVtslDkQTa-54AaABAg,Angela 😍😲,0,@a-mac025,False,False,False,0,Nerdy Prudes
UgxYmUQhZleAL4WUzR14AaABAg,Did know Angela used to be in sk but still feels wack actually seeing her,0,@satchiko9884,False,False,False,4,Nerdy Prudes
UgxYmUQhZleAL4WUzR14AaABAg,What?,1,@twist_ending7545,False,False,True,4,Nerdy Prudes
UgxYmUQhZleAL4WUzR14AaABAg,"@twist_ending7545  lmao, it was a typo, but im saying that i did know that Angela used to be starkid before smosh but it still feels weird seeing her",0,@satchiko9884,False,False,True,4,Nerdy Prudes
UgxYmUQhZleAL4WUzR14AaABAg," @satchiko9884  ""used to be""? She's still part of Starkid",0,@twist_ending7545,False,False,True,4,Nerdy Prudes
UgxYmUQhZleAL4WUzR14AaABAg,@twist_ending7545  so shes working in smosh AND starkid damn,0,@satchiko9884,False,False,True,4,Nerdy Prudes
Ugw7HJ5EfCY1EQbmJT14AaABAg,"1:32:57 her singing the climax of the song while the piano plays 'i'm not a loser', symbolizing her starting to come into herself, just before jagerman comes to take all that away? tragic, brilliant, beautiful",2,@chriscarlos1578,False,False,False,0,Nerdy Prudes
UgzQt0-hMdqyGX-FLnN4AaABAg,the gasped i gasped when i realized how this musical ties hatchetfield lore together -,1,@josephinegillet7677,False,False,False,0,Nerdy Prudes
Ugyqo1yMlzQQaNkntcR4AaABAg,Wait. Was the scene at Beanie's from The man who didn't like musicals too?,0,@Zo.sTheMost,False,False,False,1,Nerdy Prudes
Ugyqo1yMlzQQaNkntcR4AaABAg,"Yes, the character who asked for hot chocolate in tgwdlm is Peter spankoffsky",0,@hauntedteethcupboard,False,False,True,1,Nerdy Prudes
UgyFIuwKU5gNrV-LJe54AaABAg,"""Maury prefers their kids"" hurts my soul",1,@Cheskaz,False,False,False,0,Nerdy Prudes
Ugx84Hhn98mXeiWh-V54AaABAg,"So there are 5 altars. 
One in the theater (TGWDLM)
One in the mall (BF)
And one in the house(NPMD)
Where are the other 2?",2,@2o2e2,False,False,False,2,Nerdy Prudes
Ugx84Hhn98mXeiWh-V54AaABAg,"NPMD featured two altars: the Waylon place (the resurrection) and Hatchetfield High (the summoning).  So we are only missing one.

It’s possible it is in the woods, where they sacrifice the Honey Queen in Nightmare Time.",1,@davidrich27,False,False,True,2,Nerdy Prudes
Ugx84Hhn98mXeiWh-V54AaABAg,"​ @davidrich27  the fifth altar is actually CCRP. It used to be the Hatchetfield Gazette, which was mentioned by Grace",0,@twist_ending7545,False,False,True,2,Nerdy Prudes
UgwETwUP56rbzjQcS4F4AaABAg,heather who?,0,@I-like-women-morethantheothers,False,False,False,0,Nerdy Prudes
UgxqMcqYdZruE_Umo714AaABAg,1:08:12,0,@glaciermood7499,False,False,False,0,Nerdy Prudes
UgzBmPzbNDtkRh_ncqN4AaABAg,"Bahahahahaha omg The Beanies scene was awesome 😂😂😂
You guys are all my most favourite thing at the moment!!",0,@crazyaussie7054,False,False,False,0,Nerdy Prudes
Ugz5cBOXmrysgCpwsql4AaABAg,yknow ive noticed the lyrics to hatchet town is different here than it is in the cast album. is it something the changed for the stage or smth or do they do that for every show?,0,@ghostlybumblebees5911,False,False,False,1,Nerdy Prudes
Ugz5cBOXmrysgCpwsql4AaABAg,"It’s because for this recording, they used cameos of characters from their previous Nightmare Time cast, both the musicals and the online specials.",1,@natyx24,False,False,True,1,Nerdy Prudes
UgxUPz79H8ujnJRhVgp4AaABAg,"Honestly, I'd watch the BBQ monologs",3,@tildalangland2814,False,False,False,0,Nerdy Prudes
UgzazGjq4bbMOTDPHX54AaABAg,PLEASSEEE PUT THIS ON SPOTIFY I'M XRYING,2,@Dadoodadaydee,False,False,False,1,Nerdy Prudes
UgxeUMRaCQi7Q23KqLR4AaABAg,Why is Chastity my fave?,0,@Spider_Marrow,False,False,False,1,Nerdy Prudes
UgxeUMRaCQi7Q23KqLR4AaABAg,Chasity*,0,@twist_ending7545,False,False,True,1,Nerdy Prudes
Ugw1nAvhp7nGrkf9j3B4AaABAg,"Angela remains a light in this world no matter what she's cast in, shoutout",9,@rebeccaelizabeth8362,False,False,False,0,Nerdy Prudes
UgyG77htqr8z2Q4JNSh4AaABAg,Dead meat needs to cover this NOW!!,4,@Theweirdone613,False,False,False,1,Nerdy Prudes
UgyG77htqr8z2Q4JNSh4AaABAg,Black Friday too! And Nightmare Time!,0,@twist_ending7545,False,False,True,1,Nerdy Prudes
UgxmLdiRg0LhATBJujt4AaABAg,"There are now 3 musicals in relation to TGWDLM
So that means there is now a SMU
Or: Starkid Musical Universe",3,@RunTheGayDucksAreHere,False,False,False,0,Nerdy Prudes
UgyQ6WmxGiyPz6kYs8p4AaABAg,1:02:58 😬😬😬,1,@doom3798,False,False,False,0,Nerdy Prudes
UgwpA3YtzkJCG2G7Cp94AaABAg,anyone else come here right after the live stream today?,2,@luizasabbaga592,False,False,False,0,Nerdy Prudes
Ugx072TJL2StmudyoAB4AaABAg,"The choice to have Max ""Literal Monster"" Jagerman obsessed with Grace Chasity is so unexpected and hilarious. Especially because his ace-in-the-hole is ""watch some p*rn!""",7,@VivaLaDnDLogs,False,False,False,1,Nerdy Prudes
Ugx072TJL2StmudyoAB4AaABAg,Chasity*,1,@twist_ending7545,False,False,True,1,Nerdy Prudes
Ugzo1oe_RoNoMH0scmZ4AaABAg,"Why yes, yes this is my favorite think I've found in ages!!",0,@Mithical_C,False,False,False,0,Nerdy Prudes
UgywGkRMqOLuVT6bCRB4AaABAg,I think im in love with Stephanie fr,3,@freyacallesen9341,False,False,False,0,Nerdy Prudes
Ugw0jKblTORhZpneO9V4AaABAg,"steph and pete were so cute, I’m glad that none of them d worded but unfortunately poor richie and ruth did 😭",3,@chuualwayswins,False,False,False,3,Nerdy Prudes
Ugw0jKblTORhZpneO9V4AaABAg,"You can say ""died""",0,@twist_ending7545,False,False,True,3,Nerdy Prudes
