,id,parent,text,like_count,author,is_favorited,is_pinned
0,Ugxxm-J8EcnCqxEyIWd4AaABAg,root,Why did i imagine this as a film only available on the disney channel.,1,@yesnt9002,False,False
1,UgyBhhJqINLF6ofrERN4AaABAg,root,man we really need the whole sound track on spotify these are some bangers,4,@therealorionvt,False,False
2,UgwSLPi4FMx70aeiS094AaABAg,root,Nah low key that was fire,1,@justhereforstolenmemes5391,False,False
3,Ugxcsf58xgxgaU5L69p4AaABAg,root,Very good,0,@DJVideso,False,False
4,Ugxv7kRFxCt52xwIrsZ4AaABAg,root,everyone coming over from that animation is making me so happy 😭,4,@abbemai,False,False
5,Ugxv7kRFxCt52xwIrsZ4AaABAg.A3xyKH-qjdUA4-HlQWvMBI,Ugxv7kRFxCt52xwIrsZ4AaABAg,YES I KNOW WHAT YOU MEANN me too😭😭,0,@k1wiidot,False,False
6,Ugz1cc79qNULo5NsNpl4AaABAg,root,"Oh i just wish i could have seen this live, new fav musical ever 😭😭",2,@cresha8779,False,False
7,UgyWr1MFuWdApKUyslh4AaABAg,root,I don't really know why this showed up on my suggestions but this is awesome lmao,0,@solipsism6437,False,False
8,UgyFrRsW7l3vkjGKq-p4AaABAg,root,I gotta say that max Jäegermen is a great antagonist. He’s a great subversion of the high school bully and he’s a proper evil person,0,@dawntreader7077,False,False
9,Ugw_FQ3MYPc4uptGL9p4AaABAg,root,1:40:32 PAULLLLLLLLLL AGAGAGAGAGAGA‼‼‼‼🔥🔥🔥,0,@Elliot-qm3uh,False,False
10,Ugy1rn9i3c4B_O-qNSZ4AaABAg,root,"The Lie, cheat,steal line…was that a reference to Eddie Guerrero 💀",0,@LiliannaFehr,False,False
11,UgzJi0EIvwA3qMAmDTd4AaABAg,root,"So now that we got working boys, who's with me in asking for a full production of BBQ monologues?",3,@raygatana1886,False,False
12,Ugz_Qr1xjkihWaZExHZ4AaABAg,root,"All the references, the killer (sometimes literally) songs, and so much more… Always amazing! Also, gotta love that cutting through Pinebrook can usually be helpful.",2,@sandrafunacc1,False,False
13,Ugwm9ccnfkfLWf64GrB4AaABAg,root,"God, it's like Heathers in reverse",4,@LemonadeStand618,False,False
14,UgztHwNvJlSBY_-Y6IZ4AaABAg,root,"I always say ""by the way"" like this all the time now lol 28:32",1,@NOTEPADANDPEN1,False,False
15,UgxiXYnCV8rTKUzkoB54AaABAg,root,"I feel really embarrassed that it took somewhere around 5 viewings to catch the detective’s “plenty of hot water for you, Grace” line around 1:36:32 . As in “in hot water”, like in trouble, because she found the bracelet and hadn’t revealed it yet.",5,@matt.the.viewer,False,False
16,UgwY9lnAOfLtmYkxLfF4AaABAg,root,I’m lowkey geeking ab the guy who didn’t like musicals references,1,@aj_is_dying6454,False,False
17,UgwHYAha77rAfPrQarp4AaABAg,root,1:44:09 Not enough love for Peter doing a baseball motion to a lyric about football lol,8,@konstance13,False,False
18,UgwHYAha77rAfPrQarp4AaABAg.A3v_hM_I21xA3xkw7HK10F,UgwHYAha77rAfPrQarp4AaABAg,THAT PART IS SO FUNNY TO ME.,0,@DevilDarling21,False,False
19,UgyQpa2QN5MDH4HSMLJ4AaABAg,root,Dude. I fucking love this fr,2,@kingaidyn,False,False
20,UgwvLcoWJ-CCC0MrW_t4AaABAg,root,I just realized that this is the 1st musical with out Jaime besides Ani,2,@KaitlinTracy,False,False
21,UgyteFyh5VUpTssV1Px4AaABAg,root,"Times when Richie is there bc I’m hyperfixated

2:07
9:02
9:38
18:57
39:03
1:02:14
1:05:26
1:07:00 I love being alive 😛‼️
1:08:55 floaty thing
1:10:04 repeat after me 😞😞😞😞",2,@eellaa6305,False,False
22,UgxSPQ4RzonKclr_VPB4AaABAg,root,first starkid musical i ever watched now i have watched all hachetfield installments and the trail to organ,6,@RobynBrown-fh4iy,False,False
23,Ugwa20XHMUG1p6KwCPp4AaABAg,root,Tag yourself I’m “ＨｅｈｅｈｈａｈａｈａｈａｈｈRUN YA LITTLE 𝑩𝑰𝑻𝑪𝑯”,2,@brookiecookie2741,False,False
24,Ugxqyi5_3p1QVwSFWA94AaABAg,root,THIS ATE,3,@teencrisis4750,False,False
25,UgzKdWLe7HibkUCqRhZ4AaABAg,root,2:17:41 waitwaitwait…. i thought she died??,0,@cassafras333,False,False
26,Ugz85DJLiARu8DqjLtZ4AaABAg,root,The Lords were genuinely terrifying!,3,@falsebeliever8079,False,False
27,UgxuBzwe640NZ-awTU94AaABAg,root,scene 12 had the god knocking on my door,1,@pistolk1,False,False
28,UgyBiZ1qJi5cpidTrVV4AaABAg,root,this musical is actually awesome lol,2,@user0339-tf1jy,False,False
29,Ugy1kE3CKsWm6jb1wGZ4AaABAg,root,"The tune starting at 1:11:53 actually gave me chills cause its the same tune as La De Da Da Day, the first song of the world in TGWDLM that signaled the end of the world, and its what played the morning of the end in this too. Its the tune for the end of the world and its sickeningly cheery, it feels fitting and horrible and I love them for it.",1,@mariojumpman9638,False,False
30,UgwX2YHtKOJV-B1Czbp4AaABAg,root,"1:39:52 I hold back, sometimes I won't, yeah
I feel good, sometimes I don't, ayy, don't
I finessed down Weston Road, ayy, 'nessed
Might go down a G-O-D, yeah, wait
I go hard on Southside G, yeah, Way
I make sure that north side eat
And still",0,@Ghost-6293,False,False
31,UgzwMMBNHHvU7EVYx2x4AaABAg,root,I don't like musicals. Really liked this,1,@gusngregg5127,False,False
32,UgzwMMBNHHvU7EVYx2x4AaABAg.A3tFBAbKnpVA3v94mVGgYO,UgzwMMBNHHvU7EVYx2x4AaABAg,Paul is that you?,2,@crispyliza7050,False,False
33,Ugx7XrhRs5Fa8EQwWbB4AaABAg,root,I love it ❤,2,@Fatima-no4jl,False,False
34,UgwglCRFZxBH2m5BEol4AaABAg,root,I need me a freak like Ruth,2,@swaglandking2347,False,False
35,UgzgBk8ubyKLA3HN-et4AaABAg,root,1:59:54,2,@count-countess8464,False,False
36,UgxQmYDEPR5ape2PT154AaABAg,root,Gênios!!!,0,@batatinhademirtilo5901,False,False
37,UgzeEb9IJaXSCPIhXLt4AaABAg,root,Jeff Blim Jumpscare 1:22:24,0,@candiceatwater6316,False,False
38,UgzlMqklvM2qAjhOeoJ4AaABAg,root,"I saw a fan animation of the “Who will pray for me?” part by ThirdChildFilms and it was so amazing I just had to watch the musical. I’m so glad it’s a Starkids production! Funny, dark, a little tense at times with great music, acting, and storyline. I’ll definitely rewatch this again in the near future.",4,@sparrowskeleton1831,False,False
39,UgyHXSLCeekVY3Fa8Bh4AaABAg,root,"Even though Steph only has one outfit because costumed and stuff, I wanna see her closet! I bet she’s got the coolest stuff, since I love her style!!",0,@not_really_here2379,False,False
40,Ugzwl3Ojqq8WYB9ycpt4AaABAg,root,"After grace and max had their time, at the very end did max corrupt grace to become more evil then before ha",0,@LouieAbstract_nyc,False,False
41,UgyTkG9tWbiO-eUIoHt4AaABAg,root,Just came from a sick animation on tiktok. When my headphones charge i can tell im going to have another hyperfixation considering this wouldnt leave my mind.,0,@pileofsaltOG,False,False
42,UgyM6ib6rBYWC0cjgtN4AaABAg,root,I really need this whole thing as an anime similiar to Hazbin Hotel. SO MUCH POTENTIAL.,0,@DropsFromDripps,False,False
43,UgzrpEWZTfDNSrP-bK54AaABAg,root,Why isn't this in Spotify yet!?,1,@MaximeLoonatic2,False,False
44,UgzrpEWZTfDNSrP-bK54AaABAg.A3rtJjuOgdsA3s3SkXpy5H,UgzrpEWZTfDNSrP-bK54AaABAg,"spotify isn't profitable for them, give it a couple months and it might be up by then though",0,@theevilcatwithlasereyes4313,False,False
45,Ugw7-XPGn9ip-YoPs0p4AaABAg,root,The vocals are so good I can't tell if it's recorded or live 😅😂,1,@willowsnake101,False,False
46,UgytmPUfKAhrraNrbZl4AaABAg,root,Can we appreciate the actress who plays Officer Shapiro for a second? Her voice is to die for,0,@macyfisher5209,False,False
47,UgytmPUfKAhrraNrbZl4AaABAg.A3rHFO6d9chA3s3VEZzyrS,UgytmPUfKAhrraNrbZl4AaABAg,couldn't imagine anyone else playing her,1,@theevilcatwithlasereyes4313,False,False
48,Ugzv9QR9jBZ_MWTCEPB4AaABAg,root,Who else would unironically see the BBQ Monologues?👀,1,@RAM-wu1pn,False,False
49,UgwzKfNekmZJDXd7Rml4AaABAg,root,"I came here because of tiktok and the pray for me part.... Worth it, that was awesome and I'm subbing",2,@puglordthegamer2371,False,False
50,Ugx93vCCPe_a70fxjuB4AaABAg,root,"The audience wasn’t clapping when Grace said “the only man in my life is JeezUs Christ” because they thought it was funny, they clapped out of unity. Respectable people 🙏",1,@livjames8624,False,False
51,UgzULp94-PTm_NDp6AF4AaABAg,root,"Film Theory: 49:13 Richie is trying to set Peter up with Ruth because the rumour is that 9:02 ""You have a girl; he'll seduce her."" Richie is trying to get Peter interested in Ruth, so Max Jagerman will try to seduce Ruth. 

49:39 ""You're fuckin' useless Pete"" seems like it has nothing to do with the plot, but a sub story arc where Richie and Ruth have an ulterior motive of helping out at the Waylon Place.",3,@zayatoon,False,False
52,UgywOT5I85xQr36Bk054AaABAg,root,It took me a minute to realize that grace is Angela from smosh,1,@lesroller1240,False,False
53,UgwnsbByNxffNV-ZCmp4AaABAg,root,ate,1,@creamimoon1530,False,False
54,UgyCzg2iGS0M-YmTZG14AaABAg,root,What is jerma doing 😭🙏,1,@questionable69420,False,False
55,Ugx8VruOlYfFGyczhdR4AaABAg,root,Detective Shapiro screaming wtf at max was hilarious,1,@psychiclady91,False,False
56,UgyJINY-AgBoMMevSz94AaABAg,root,I swear if this doesn't become a movie I'm gonna lose it!! The I've seen in a while!! ❤❤❤,1,@tweeter_tesser2319,False,False
57,UgxoKV1C8roQg6-tFGt4AaABAg,root,"they should make a movie out of it, but an animated movie with the original actors. Not some fancy actor with clout these actors. It would not be the same.",3,@texbootsthatguy2045,False,False
58,UgxoKV1C8roQg6-tFGt4AaABAg.A3qX8Nv3xHHA3sLGclGUyF,UgxoKV1C8roQg6-tFGt4AaABAg,ThirdChildFilms is making an animatic of the Nerdy Prudes Must Die song and you can find her WIPs here on youtube,0,@sparrowskeleton1831,False,False
59,Ugx2pv9bat4P-qKfUjV4AaABAg,root,10 out of 10 incredible,2,@LouieAbstract_nyc,False,False
60,UgxTiYHzFcxCPK_Eckt4AaABAg,root,"I just binge watched this cus I saw a tiktok of “I’m not a loser” scene and this was enthusiastically good. I was legit in tear at the end, I don’t know if Max was even aiming to kill Grace but GOOD LORD I was NOT expecting what transpired 😂😂",1,@sarahwilson3020,False,False
61,UgwqTTFkSAT2iup6avF4AaABAg,root,When the animation hits so hard you immediately watch an entire musical at 2 in the morning,2,@AliceWithMalice,False,False
62,UgwqTTFkSAT2iup6avF4AaABAg.A3qMAcU4oSEA3qZTeic0vF,UgwqTTFkSAT2iup6avF4AaABAg,What animation ?,0,@ashy_trashy,False,False
63,UgwqTTFkSAT2iup6avF4AaABAg.A3qMAcU4oSEA3qc7M0Oo8J,UgwqTTFkSAT2iup6avF4AaABAg," @ashy_trashy  I commented this on the animation which was a short on my mobile app, while this was in the background and my app glitched into my sending it here, I am very confused.",0,@AliceWithMalice,False,False
64,UgwqTTFkSAT2iup6avF4AaABAg.A3qMAcU4oSEA3qc9fVJTbH,UgwqTTFkSAT2iup6avF4AaABAg, @ashy_trashy  but also it’s the animation by third child films,0,@AliceWithMalice,False,False
65,UgwqTTFkSAT2iup6avF4AaABAg.A3qMAcU4oSEA3qcCt9DAAL,UgwqTTFkSAT2iup6avF4AaABAg,https://youtube.com/shorts/idyJXbZOITM?si=Xa4w4kj16B_mUEuF,0,@AliceWithMalice,False,False
66,Ugy1KOjxRzdYju50d6l4AaABAg,root,Patiently waiting for the soundtrack to drop,0,@theawesomegamervlogger5896,False,False
67,Ugz5lgYTnURXU91wcj14AaABAg,root,"Cute detail I've just spotted (on my umpteenth rewatch): In 'High School is Killing Me', most of the students raise their hands up to their mouths to whisper ""I'm so fuckin' dead"" to the audience. But in every instance, Grace covers her mouth instead, hiding it from the audience, because of course she would never say such a rude word!",1,@crebecca,False,False
68,UgyZx3zLSEj0SFGVwdF4AaABAg,root,this one… this is my new favorite and i WILL not be normal again,3,@kentrl_z,False,False
69,Ugx8dpyZnWAXSpMCZ6p4AaABAg,root,My man was born to play Seymore,1,@zackproudfoot5951,False,False
70,Ugyy8VneJMm_f7zk1B54AaABAg,root,"This was incredible, this should be a movie! Thank you ❤🎉",2,@korkiafilms,False,False
71,UgxbpeoGJ5yIG8zOHq14AaABAg,root,"Вот бы русские субтитры сюда, вообще цены бы не было",0,@ytsaifer,False,False
